TEA,SLN,AreaSqMi,totalpopE,popunisE,popinsE,priE,pub,bphighE,casthmaE,checkupE,SUM_mhlthE,obseityE,phlthE,sleepE,strokeE,POP,SCHOOLNAME,STD_hel_le,MEAN_hel_l,pharm,clinicct,groc,avgfruits,avgveg
181,181,12.5663706144,55095,8529,46560,39017,11190,12777.4420413,3678.84886972,29658.0356859,5527.50262063,13944.1002444,4793.94461814,14653.9934755,1053.25168252,55045.2576125,Maple Lawn Elementary School,2.30816963389,52.2914679307,50,13,11,212.221679067,218.947632737
283,283,12.5663706144,68879,10196,58678,49881,12402,15655.1492755,5138.83425288,40443.2649018,7539.03255559,18301.3224567,6029.0013167,19967.7378077,1270.44554909,68808.9647272,Medrano Elementary School,2.97693626249,44.7820961854,51,13,8,203.308445779,210.507046961
188,188,12.5663706144,61413,14761,46653,29495,18833,19855.7304368,5753.82688984,39842.7610607,9376.14541782,21902.226944,8806.61533512,21368.3633462,2077.7109129,61283.9600114,Mount Auburn STEAM Academy Elementary School,3.59082930063,64.6526712856,16,8,10,172.781546355,181.195558121
202,202,12.5663706144,62499,15973,46521,27142,20837,21212.6448798,6040.29572071,40690.2404107,9950.20102878,23271.9521872,9435.32200456,22462.2388372,2353.65547906,62168.5894847,Roberts Elementary School,3.85223344812,59.4537892823,30,11,8,159.352553415,166.494680237
131,131,12.5663706144,85240,15923,69301,51982,19403,22362.0831285,7290.01128861,53149.5357412,11352.1959161,26589.2929043,9414.34411456,27569.7489191,2017.0606785,84900.6451969,Zaragoza Elementary School,4.38520754256,55.0186599303,42,13,15,184.814452008,194.718372967
122,122,12.5663706144,26163,7806,18339,9402,9545,9860.82489125,2638.45609869,17401.7226448,4567.37693064,10588.7880061,4587.30715784,9873.94462605,1172.30638879,26133.5727663,Carr Elementary School,2.39409542412,47.0083622121,25,12,3,165.69249873,171.814755865
260,260,12.5663706144,37210,8541,28657,19151,10846,12068.3791392,3445.46516725,24204.5774305,5622.35658764,13295.3067192,5294.75388693,12970.0977847,1281.36994509,37156.6558292,De Zavala Elementary School,2.52745498334,49.8082181409,23,8,4,172.822767923,180.054864742
105,105,12.5663706144,24636,7170,17465,9167,8732,7718.0384918,2303.89958529,15368.2733325,4352.27758358,9415.3413991,4077.92026091,8931.89295953,780.131351178,24642.2096172,Arcadia Park Elementary School,2.17815104657,77.1243824554,2,1,4,167.726161511,172.26220587
103,103,12.5663706144,20805,5924,14884,8205,7236,6959.94875939,1960.56329677,13237.2025342,3621.06211688,8021.44878714,3536.3604291,7610.74644673,733.568355422,20842.6240017,Allen Charter School,1.08302725809,72.4651855618,1,1,2,173.542978403,180.149230513
116,116,12.5663706144,60970,23353,37610,24244,15441,17591.6023283,5272.30395323,37478.2542271,9718.22488724,21252.1936748,8807.88973594,20788.2360827,1585.38245888,60820.089492,Burnet Elementary School,2.6069989721,68.4751126156,8,2,6,206.389979753,209.629281181
278,278,12.5663706144,63751,23621,40116,26455,16131,18554.4612102,5496.54138634,39451.0682898,9994.52861498,21982.8429868,9112.02628023,21535.9285974,1669.56996471,63599.7625456,Cigarroa Elementary School,2.5223267803,71.0023862642,9,2,6,213.16892476,216.087823498
265,265,12.5663706144,19981,5502,14477,7242,7589,7142.08830302,1987.63878506,13004.228753,3590.14905733,8048.32924312,3532.81001839,7522.03817005,802.678035413,20010.3099247,Martinez Learning Center,2.29561348442,62.2129547313,3,3,2,168.080876372,174.48659079
271,271,12.5663706144,51955,21349,30603,18626,13298,14701.7327556,4530.29608205,31413.9892643,8625.80373071,18595.1323055,7711.24385077,18094.220963,1328.43960787,51802.8516612,Saldivar Elementary School,2.60568458181,58.6430564712,12,2,5,195.192050152,200.412794622
272,272,12.5663706144,90749,25044,65693,37132,30887,29894.3306571,8373.63253073,57892.5656046,14931.8803877,34222.4086504,14654.9020604,32191.539977,3131.40828874,90423.2608374,Moreno Elementary School,2.25779167777,75.956190518,12,1,14,172.476150875,181.672776493
289,289,12.5663706144,58180,15173,42990,23911,20604,20870.4013112,5544.40834578,38355.3553979,9285.88349454,22482.9057768,9245.35974606,21247.3127789,2343.28544393,57931.2456905,Botello Elementary School,2.56871186069,64.8498076409,15,5,10,163.833798532,170.808129079
112,112,12.5663706144,51718,13056,38644,23010,16916,17859.8610706,4834.115669,33823.3791256,8048.33349496,19533.3737802,7824.22094003,18666.175791,1941.25555633,51501.6404493,Bowie Elementary School,2.73719860936,58.581344326,11,5,5,168.852371175,177.062814892
130,130,12.5663706144,89212,25654,63542,36799,29045,28499.6204484,8108.31010477,56305.2984283,14738.9560823,33325.2106126,14327.878071,31436.6106447,2926.97898852,88983.8913594,Cowart Elementary School,2.40625940566,77.3861935104,11,2,9,171.691284323,180.386731369
136,136,12.5663706144,75408,22453,52936,29988,24870,23771.695973,6936.38903312,47262.9911131,12848.8064771,28390.1237847,12280.4049957,26848.9503105,2441.61793982,75305.2382739,Donald Elementary School,2.32870399217,78.3495231055,10,2,10,169.226986037,176.330842922
149,149,12.5663706144,79811,23005,56798,33039,26106,25858.23616,7408.13358276,50645.4362851,13409.6230828,30113.0295472,12971.8512474,28460.2131345,2690.81062356,79687.8734148,Hall Elementary School,2.21252930139,78.4139487844,10,2,6,174.93257152,183.771238739
152,152,12.5663706144,89676,24731,64937,34565,32528,30480.0333197,8433.59932735,57542.913742,14851.6237796,34300.7189989,14658.775543,32272.6298641,3310.80241977,88979.6073658,Henderson Elementary School,2.11850797257,74.7717491873,15,2,17,165.621865391,173.695675465
157,157,12.5663706144,53587,13499,40077,25222,16211,17348.9548427,4790.57841446,34431.1098467,8102.33767536,19438.2822653,7789.57946067,18710.0248191,1753.7086476,53336.8487073,Hogg Elementary School,2.76714029838,60.2911405486,13,7,7,173.365346264,181.739695877
158,158,12.5663706144,86567,23767,62793,37197,27969,27573.2768232,7708.62164953,54674.3844355,13942.0026356,31940.8936106,13629.1163788,30125.55546,2778.48094117,86336.9448367,Hooe Elementary School,2.43422657622,75.604637974,19,4,16,174.585084213,182.577688122
275,275,12.5663706144,72246,19474,52758,31800,22992,22827.1868565,6373.71755677,45572.9288792,11506.5644543,26447.2531433,11205.3063711,25011.0720679,2268.97221687,72030.1865158,Kahn Elementary School,2.65414827765,75.0029456458,10,5,11,172.767316664,180.612110821
190,190,12.5663706144,79809,23388,56405,32911,25522,24951.1505709,7127.75384698,49928.8009147,13145.93852,29522.215879,12704.7703751,27854.8726526,2502.57359325,79580.6181923,Peabody Elementary School,2.54497180783,76.3196492875,15,3,10,172.704083601,180.18094235
