TEA,SLN,adupopE,adupopM,popE,popM,belpovE,belpovM,kidsE,kidsM,cbpE,cbpM,u5E,u5m,u5bpE,u5bpM,econ_5t17E,econ_5t17M,econ_5t17b,econ_5t1_1,juvpopE,juvpopM,unemE,juvunemE,urE,urM,medincM,pyrE,pyrM,AreaSqMi,blockcount,lwjobs,mwjobs,totjobs,paydayct,creditunio,retailbank,medincE,MEAN_eco_2,econ_popov,econ_pop_1
239,239,65800.2405146,5898.84156557,89728.8700153,8501.11937406,18765.3109837,6889.63880526,26828.143652,5655.5708957,8137.85988482,4085.3251279,7434.81777866,2821.32789172,2371.50421769,1659.15997071,19393.3258734,4692.47848168,5766.35566713,3098.05007632,13219.0290359,3413.73338951,4280.28639269,4072.58324483,6.78001887271,3.36995448176,9170.51588112,31.8541865969,35.1132183427,12.5663706144,276,3796,6495,13239,14,0,9,24595.4590704,3232.91679557,65794,5873
211,211,41933.8714922,4005.80344413,55519.5477411,5704.87916081,13289.052157,4473.54524558,15419.69229,3630.90123321,5774.70841197,2736.87068952,4337.79657496,1711.0005118,1541.04153373,1094.66230529,11081.895715,3135.08725894,4233.66687824,2187.15901148,7731.64228496,2176.61225012,2683.8876229,1803.51271062,6.85935796157,3.78173005924,9052.87622901,28.0700413231,37.9461967632,12.5663706144,271,4485,8790,23332,9,0,10,25217.4604995,3704.84076368,41936,3977
229,229,65281.6094956,6314.57575859,88202.2496274,9088.74711423,19061.9880487,7102.33326088,26025.6278282,5910.56087381,8330.93447724,4386.59207694,7288.55645761,2875.52127358,2599.92184327,1848.73175142,18737.0713706,4844.52860254,5731.01263397,3271.49813007,13010.0167102,3546.43887363,4949.84296273,5507.91644454,7.71017722092,3.85362775534,8082.18204908,43.9831363055,40.796970992,12.5663706144,376,5724,8954,19147,23,1,10,26152.4964723,3696.64825663,65277,6282
171,171,45238.7411319,3836.76202591,55006.746096,4972.23505688,4983.0145507,2384.22584985,10572.59831,2374.43626956,1218.26828909,1068.17717611,4103.42744154,1586.88901848,440.109448521,595.116350579,6469.17086849,1897.84408832,778.158840571,771.177543593,4187.10315747,1744.54761878,1010.98522596,765.074181049,1.85726600142,1.68275208424,22182.5799333,14.2420261311,67.823867908,12.5663706144,470,3880,5060,13056,2,3,9,60616.9325606,7457.83646386,45238,3824
125,125,51069.9724685,4602.39910002,67069.9519643,6544.79555385,11130.4244912,5176.10942147,17644.3911408,3817.78543543,4555.32733291,2955.10741456,6212.39014639,2266.3506956,1421.9842019,1229.51972646,11432.0009944,3110.98780121,3133.34313101,2234.32433429,7977.99586362,2649.93103419,2368.54166381,2780.95902874,4.40333855727,2.80693581326,8797.1461298,29.7060301342,42.8646812836,12.5663706144,264,4399,5866,14334,10,0,7,31207.1940768,5031.63491356,51073,4600
147,147,53014.8817086,4985.18780606,71212.7935713,7248.35278293,12139.3671985,5813.82066157,20159.9206581,4280.13579259,5033.88092306,3302.52044045,6711.22256545,2538.03152083,1511.65826386,1347.53234867,13448.6980926,3453.16974451,3522.2226592,2494.63087975,9256.0617188,3017.0758203,2643.75961151,3199.57393567,4.94550303188,3.1442538512,7884.39275398,32.1793973947,39.8294045112,12.5663706144,233,4725,5957,14773,7,0,5,28313.823067,4325.19760427,53018,4982
153,153,35416.7999976,2649.00186306,43799.8214939,3398.07900654,4028.52517364,1992.79653827,9395.98254606,1818.75490127,1262.6739826,988.702974026,3401.85813709,1147.94488788,460.751641991,451.794146503,5994.12440897,1585.61898249,801.92234061,703.026674041,2548.01791816,1095.78237254,817.620522929,418.906908191,1.89534119628,1.63368149406,15567.2597669,12.2088275024,59.4799778614,12.5663706144,302,2796,3741,9479,7,3,5,51312.2605158,7832.93679982,35420,2650
159,159,58249.4865305,5205.5399032,72141.6583686,7043.70285035,12025.7148379,4735.94058896,15550.8347252,3725.29945777,4028.78334684,2380.37355362,5938.72523168,2281.21405833,1464.4989974,1163.87733277,9612.10949355,2975.22116143,2564.28434944,1688.05093462,7634.98824532,2735.58900771,2301.54287641,1741.71590488,2.63226232534,2.10234340626,18476.0952296,14.7711708974,68.925527183,12.5663706144,363,12896,13752,43158,15,0,19,54315.5729233,7883.67391122,58253,5199
166,166,54623.6890469,5063.50677268,73938.7075706,7483.92645384,13873.2004883,5896.76386973,21364.0769333,4585.38260038,5595.49879725,3291.4926435,6510.99895946,2596.33680248,1591.67940327,1368.6345643,14853.0779739,3594.22905185,4003.81939398,2475.30645544,9648.26289656,3009.22430418,2961.22022597,2626.87624132,5.18653370978,3.09464324165,8206.06305604,24.2755494194,35.6050605088,12.5663706144,241,2627,3445,8858,10,0,7,28600.0577113,4269.69344641,54628,5062
198,198,45105.484992,3802.50688497,58304.2932202,5369.52877721,9383.646397,4033.34547275,14717.3727028,3122.89260369,4031.26431747,2380.2232654,5209.90924533,1857.06748235,1343.59015391,1015.56559067,9507.46345742,2508.25552561,2687.67416357,1770.90787665,5754.83417934,1938.39544685,1750.90863007,1645.48647424,3.52749493363,2.29795649283,9990.93416816,21.9075219492,43.6249626844,12.5663706144,297,5005,6772,17928,11,0,7,36671.2225334,5830.95656324,45106,3805
199,199,43726.729921,3770.96123894,55664.3087629,5191.10880971,8655.55491764,3701.38695285,13075.7089028,2942.96127647,3288.70593588,2090.63345252,4438.11411769,1720.68254131,1158.83049292,966.794259098,8637.59478516,2330.87163823,2129.87544296,1442.42677412,5447.56506078,1894.06758426,1890.73105964,1416.00107064,3.42222796845,2.20822794179,10508.6804138,17.9061791682,45.6389314836,12.5663706144,264,2514,3515,8548,11,3,6,39817.7574638,5823.44999411,43730,3770
