TEA,SLN,AreaSqMi,hhcE,hhcmhE,hhcmhM,hhcfhE,hhcfhM,tphhE,affcc,affcc_capa,lcc,kidsE
171,171,12.5663706144,6060.92231109,345.386223278,394.585116948,1217.87757459,876.490778935,4497.65851323,2,120,24,10572.59831
125,125,12.5663706144,7458.48784168,556.468348512,550.442396827,1902.41580352,1063.68299507,4999.60368965,13,965,26,17644.3911408
147,147,12.5663706144,8139.77109963,713.047295058,669.162512799,2325.87628862,1230.72271501,5100.84751595,15,1090,21,20159.9206581
153,153,12.5663706144,5008.99066702,168.59210275,244.848274669,648.628696042,499.018715725,4191.76986823,3,200,20,9395.98254606
159,159,12.5663706144,7865.90480828,566.351742356,666.6651032,1462.16228618,1036.20387379,5837.39077975,6,756,24,15550.8347252
166,166,12.5663706144,8410.92013469,877.442702312,743.167721871,2525.53688924,1246.65317749,5007.94054314,15,1306,25,21364.0769333
198,198,12.5663706144,6503.66002195,420.770891032,412.591466089,1490.59392154,835.827271372,4592.29520938,11,630,26,14717.3727028
199,199,12.5663706144,5690.89864072,427.288265175,417.483178843,1241.9409672,774.994821015,4021.66940834,10,893,26,13075.7089028
250,250,12.5663706144,4239.29592369,431.530290534,478.919764656,2296.80745724,983.20565126,1510.95817592,29,1671,26,12814.9288128
172,172,12.5663706144,8547.42433889,827.165374991,711.852237161,2938.44714241,1293.96704528,4781.81182149,15,1489,22,24867.7585625
183,183,12.5663706144,4439.48747762,494.826007166,497.159985842,2171.04740824,966.999923854,1773.61406221,31,1772,29,12703.0402396
210,210,12.5663706144,5537.40859154,408.773088678,358.398307839,1908.81086322,785.480484106,3219.82463964,5,427,9,16092.8453038
213,213,12.5663706144,4255.82972952,556.223697141,558.238657991,2226.15044795,977.691958078,1473.45558442,32,1939,30,12809.5320744
215,215,12.5663706144,3585.27730715,418.933850449,431.185391325,1883.14368524,833.249258953,1283.19977146,29,1685,28,10132.4108125
277,277,12.5663706144,5062.2719432,436.796412478,388.730144653,2021.53062001,828.606518295,2603.94491071,8,631,8,14119.3885069
219,219,12.5663706144,5021.44718116,667.84656412,623.761720063,2475.09017042,1073.17860556,1878.51044662,25,1599,32,14774.5895669
225,225,12.5663706144,6180.00748501,748.594473102,646.801084121,2508.83441831,1081.81194453,2922.5785936,19,1504,25,17615.4577563
274,274,12.5663706144,4936.53717212,385.617208901,330.406575969,1637.85589831,692.188889838,2913.0640649,4,323,7,14541.2256955
236,236,12.5663706144,2775.5933611,188.358579271,168.744571838,1021.35672711,426.418637618,1565.87805471,3,252,5,7823.86359861
164,164,12.5663706144,7264.4176073,463.809841368,461.908969059,2122.31173589,974.753553603,4678.29603004,13,1200,17,21243.7955081
287,287,12.5663706144,6736.78643187,463.617926681,427.112129385,2037.62414116,893.397011756,4235.54436402,6,448,9,19804.3422
114,114,12.5663706144,5059.53810052,505.917093116,562.528804233,2201.22264167,1072.52897441,2352.39836574,29,1518,27,16466.6636179
115,115,12.5663706144,7067.67367573,784.731849002,693.751424128,2553.51618589,1212.05732028,3729.42564084,25,1752,31,21875.7409198
118,118,12.5663706144,3168.66962029,333.860335237,397.949404562,1825.99754072,819.302876468,1008.81174433,19,988,14,9757.25467503
6,6,12.5663706144,6317.2383483,324.37274739,442.35118599,1138.21403786,773.727526853,4854.65156305,2,181,20,11859.5742734
15,15,12.5663706144,2738.45107995,412.631095904,258.874614856,825.720660495,333.009121865,1500.09932355,1,126,1,7096.47552846
380,380,12.5663706144,835.268599071,127.258644446,94.9003503179,376.219375363,161.674823842,331.790579262,2,99,3,2309.38387173
23,23,12.5663706144,3888.08596224,397.473375754,441.849984311,2257.32949662,868.174786437,1233.28308987,21,1563,22,11245.2147354
32,32,12.5663706144,3223.78421757,348.524142454,409.072057303,1538.37277964,831.37292477,1336.88729548,15,1229,26,9203.1605507
24,24,12.5663706144,6156.01362864,600.015362546,850.957651187,1847.70459346,1304.33716861,3708.29367263,7,637,27,11710.5160204
22,22,12.5663706144,6662.92257625,570.284488207,612.206945651,1973.59146583,1198.17230372,4119.04662222,7,364,31,14694.0110856
